Num_Defect
1
2
3
1
2
5
3
7
2
3
1
3
4
1
6
3
2
3
7
3
3
3
4
3
2
3
8
2
4
1
7
2
2
1
5
5
5
2
2
3
5
0
3
5
3
2
0
1
5
4
2
1
6
4
0
4
2
3
1
5
2
5
4
4
2
4
5
1
3
5
3
4
2
1
6
2
1
5
0
2
